month,year,quarter,line_item,department,actual,budget,prior_year
2022-01,2022,Q1,Revenue,Total,4195381.0,4680000.0,
2022-01,2022,Q1,OpEx,Sales,840628.0,813065.0,
2022-01,2022,Q1,OpEx,Marketing,475576.0,470722.0,
2022-01,2022,Q1,OpEx,Engineering,1022853.0,1027029.0,
2022-01,2022,Q1,OpEx,G&A,324609.0,342343.0,
2022-01,2022,Q1,OpEx,Operations,568064.0,599100.0,
2022-02,2022,Q1,Revenue,Total,4259064.0,4715100.0,
2022-02,2022,Q1,OpEx,Sales,845863.0,825407.0,
2022-02,2022,Q1,OpEx,Marketing,476050.0,477867.0,
2022-02,2022,Q1,OpEx,Engineering,1050682.0,1042619.0,
2022-02,2022,Q1,OpEx,G&A,324460.0,347540.0,
2022-02,2022,Q1,OpEx,Operations,630071.0,608194.0,
2022-03,2022,Q1,Revenue,Total,4658606.0,4750200.0,
2022-03,2022,Q1,OpEx,Sales,861553.0,902838.0,
2022-03,2022,Q1,OpEx,Marketing,497074.0,522696.0,
2022-03,2022,Q1,OpEx,Engineering,1084719.0,1140427.0,
2022-03,2022,Q1,OpEx,G&A,366527.0,380142.0,
2022-03,2022,Q1,OpEx,Operations,657242.0,665249.0,
2022-04,2022,Q2,Revenue,Total,4742848.0,4785300.0,
2022-04,2022,Q2,OpEx,Sales,884952.0,919164.0,
2022-04,2022,Q2,OpEx,Marketing,530741.0,532148.0,
2022-04,2022,Q2,OpEx,Engineering,1098836.0,1161049.0,
2022-04,2022,Q2,OpEx,G&A,372650.0,387016.0,
2022-04,2022,Q2,OpEx,Operations,657558.0,677279.0,
2022-05,2022,Q2,Revenue,Total,4903024.0,4820400.0,
2022-05,2022,Q2,OpEx,Sales,965455.0,950206.0,
2022-05,2022,Q2,OpEx,Marketing,524212.0,550119.0,
2022-05,2022,Q2,OpEx,Engineering,1184452.0,1200260.0,
2022-05,2022,Q2,OpEx,G&A,398191.0,400087.0,
2022-05,2022,Q2,OpEx,Operations,655610.0,700152.0,
2022-06,2022,Q2,Revenue,Total,5027797.0,4855500.0,
2022-06,2022,Q2,OpEx,Sales,925436.0,974387.0,
2022-06,2022,Q2,OpEx,Marketing,529362.0,564119.0,
2022-06,2022,Q2,OpEx,Engineering,1272287.0,1230805.0,
2022-06,2022,Q2,OpEx,G&A,424837.0,410268.0,
2022-06,2022,Q2,OpEx,Operations,731290.0,717969.0,
2022-07,2022,Q3,Revenue,Total,4929104.0,4890600.0,
2022-07,2022,Q3,OpEx,Sales,899765.0,955260.0,
2022-07,2022,Q3,OpEx,Marketing,555901.0,553045.0,
2022-07,2022,Q3,OpEx,Engineering,1181112.0,1206645.0,
2022-07,2022,Q3,OpEx,G&A,379905.0,402215.0,
2022-07,2022,Q3,OpEx,Operations,693159.0,703876.0,
2022-08,2022,Q3,Revenue,Total,4765073.0,4925700.0,
2022-08,2022,Q3,OpEx,Sales,950655.0,923471.0,
2022-08,2022,Q3,OpEx,Marketing,512871.0,534641.0,
2022-08,2022,Q3,OpEx,Engineering,1169781.0,1166490.0,
2022-08,2022,Q3,OpEx,G&A,375216.0,388830.0,
2022-08,2022,Q3,OpEx,Operations,671918.0,680452.0,
2022-09,2022,Q3,Revenue,Total,4783368.0,4960800.0,
2022-09,2022,Q3,OpEx,Sales,881878.0,927017.0,
2022-09,2022,Q3,OpEx,Marketing,555980.0,536694.0,
2022-09,2022,Q3,OpEx,Engineering,1188492.0,1170968.0,
2022-09,2022,Q3,OpEx,G&A,403083.0,390323.0,
2022-09,2022,Q3,OpEx,Operations,702104.0,683065.0,
2022-10,2022,Q4,Revenue,Total,4662848.0,4995900.0,
2022-10,2022,Q4,OpEx,Sales,931484.0,903660.0,
2022-10,2022,Q4,OpEx,Marketing,492260.0,523172.0,
2022-10,2022,Q4,OpEx,Engineering,1087255.0,1141465.0,
2022-10,2022,Q4,OpEx,G&A,356232.0,380488.0,
2022-10,2022,Q4,OpEx,Operations,643520.0,665855.0,
2022-11,2022,Q4,Revenue,Total,4513890.0,5031000.0,
2022-11,2022,Q4,OpEx,Sales,840356.0,874792.0,
2022-11,2022,Q4,OpEx,Marketing,516966.0,506458.0,
2022-11,2022,Q4,OpEx,Engineering,1071680.0,1105000.0,
2022-11,2022,Q4,OpEx,G&A,354215.0,368333.0,
2022-11,2022,Q4,OpEx,Operations,638072.0,644583.0,
2022-12,2022,Q4,Revenue,Total,4432660.0,5066100.0,
2022-12,2022,Q4,OpEx,Sales,874413.0,859050.0,
2022-12,2022,Q4,OpEx,Marketing,467212.0,497344.0,
2022-12,2022,Q4,OpEx,Engineering,1126134.0,1085115.0,
2022-12,2022,Q4,OpEx,G&A,367005.0,361705.0,
2022-12,2022,Q4,OpEx,Operations,603109.0,632984.0,
2023-01,2023,Q1,Revenue,Total,4470947.0,5101200.0,4101787.0
2023-01,2023,Q1,OpEx,Sales,883205.0,866470.0,
2023-01,2023,Q1,OpEx,Marketing,505454.0,501640.0,
2023-01,2023,Q1,OpEx,Engineering,1105423.0,1094488.0,
2023-01,2023,Q1,OpEx,G&A,370137.0,364829.0,
2023-01,2023,Q1,OpEx,Operations,599734.0,638451.0,
2023-02,2023,Q1,Revenue,Total,4725422.0,5136300.0,4337915.0
2023-02,2023,Q1,OpEx,Sales,864382.0,915787.0,
2023-02,2023,Q1,OpEx,Marketing,543157.0,530192.0,
2023-02,2023,Q1,OpEx,Engineering,1155153.0,1156783.0,
2023-02,2023,Q1,OpEx,G&A,372892.0,385594.0,
2023-02,2023,Q1,OpEx,Operations,633106.0,674790.0,
2023-03,2023,Q1,Revenue,Total,4916107.0,5171400.0,4515700.0
2023-03,2023,Q1,OpEx,Sales,920769.0,952742.0,
2023-03,2023,Q1,OpEx,Marketing,557134.0,551587.0,
2023-03,2023,Q1,OpEx,Engineering,1203618.0,1203463.0,
2023-03,2023,Q1,OpEx,G&A,412007.0,401154.0,
2023-03,2023,Q1,OpEx,Operations,689593.0,702020.0,
2023-04,2023,Q2,Revenue,Total,5063205.0,5206500.0,4653598.0
2023-04,2023,Q2,OpEx,Sales,989385.0,981249.0,
2023-04,2023,Q2,OpEx,Marketing,575714.0,568092.0,
2023-04,2023,Q2,OpEx,Engineering,1229436.0,1239473.0,
2023-04,2023,Q2,OpEx,G&A,419155.0,413158.0,
2023-04,2023,Q2,OpEx,Operations,711909.0,723026.0,
2023-05,2023,Q2,Revenue,Total,5352825.0,5241600.0,4922687.0
2023-05,2023,Q2,OpEx,Sales,1014016.0,1037377.0,
2023-05,2023,Q2,OpEx,Marketing,561017.0,600587.0,
2023-05,2023,Q2,OpEx,Engineering,1235691.0,1310372.0,
2023-05,2023,Q2,OpEx,G&A,408295.0,436791.0,
2023-05,2023,Q2,OpEx,Operations,764387.0,764383.0,
2023-06,2023,Q2,Revenue,Total,5368442.0,5276700.0,4939919.0
2023-06,2023,Q2,OpEx,Sales,1026066.0,1040404.0,
2023-06,2023,Q2,OpEx,Marketing,619956.0,602339.0,
2023-06,2023,Q2,OpEx,Engineering,1259336.0,1314195.0,
2023-06,2023,Q2,OpEx,G&A,427389.0,438065.0,
2023-06,2023,Q2,OpEx,Operations,776467.0,766614.0,
2023-07,2023,Q3,Revenue,Total,5328978.0,5311800.0,4906416.0
2023-07,2023,Q3,OpEx,Sales,970454.0,1032756.0,
2023-07,2023,Q3,OpEx,Marketing,575562.0,597911.0,
2023-07,2023,Q3,OpEx,Engineering,1237688.0,1304534.0,
2023-07,2023,Q3,OpEx,G&A,448601.0,434845.0,
2023-07,2023,Q3,OpEx,Operations,775073.0,760978.0,
